ID	Name	Status	Type	Reads	Created
4d7be1a4-063a-4e60-8cfa-84c0bb3b13d5	MSM6J2QD.fastq.gz	Completed	WGS	22.905M	10/27/2020
ab278aa7-7c5d-4908-af1f-59fc5d6e75cd	MSM6J2Q5.fastq.gz	Completed	WGS	30.123M	10/27/2020
8dbf3142-f72a-4693-8592-3f54de5913e0	MSM6J2MF.fastq.gz	Completed	WGS	30.868M	10/27/2020
02ab9470-3185-4998-aec9-66049695b798	MSM6J2LR.fastq.gz	Completed	WGS	21.946M	10/27/2020
0043972d-3d5d-48b2-ac8b-d6ae78180914	MSM6J2LB.fastq.gz	Completed	WGS	4.76M	10/27/2020
088f2978-6ace-42d4-9905-a901a6393501	MSM6J2K2_healthy.fastq.gz	Completed	WGS	26.063M	10/27/2020
4fd14c9d-f5d4-44eb-852b-e9e7d7cd16e8	MSM6J2JR_healthy.fastq.gz	Completed	WGS	30.793M	10/27/2020
760ac624-f0ca-4250-a364-f82fecdce27a	MSM6J2HH.fastq.gz	Completed	WGS	3.089M	10/27/2020
f44d9a53-35fa-48b6-82b3-d8fc0823b364	MSM6J2HF.fastq.gz	Completed	WGS	16.315M	10/27/2020
f847e40f-9c96-4515-b2b7-22779abb22fd	MSM5LLDE.fastq.gz	Completed	WGS	6.574M	10/27/2020
2913b5d5-7b44-48da-93f1-2e24f899b37b	MSM6J2N6_P.fastq.gz	Completed	WGS	18.209M	10/27/2020
fe8dfc24-40d6-4cbb-94a5-f432acb374be	MSM5ZOJY_P.fastq.gz	Completed	WGS	35.366M	10/27/2020
15bef56e-0d14-4be2-b22b-5c1c0a0e7743	MSM5LLIQ_P.fastq.gz	Completed	WGS	16.698M	10/27/2020
be93ef1e-37c0-4546-bc22-1f353dce2e78	MSM5LLHV_P.fastq.gz	Completed	WGS	18.602M	10/27/2020
d3e58206-8e1d-44f1-b05f-6a7a9f23b98e	MSM5LLHO_P.fastq.gz	Completed	WGS	40.858M	10/27/2020
38aa1ed3-3033-4505-87db-3c38975465cd	MSM5LLGR_P.fastq.gz	Completed	WGS	34.112M	10/27/2020
5e5216a9-18e5-4f3c-8e06-f93ae59875b8	MSMAPC6E.fastq.gz	Completed	WGS	31.347M	10/27/2020
e3f6f149-f488-47ab-b6c8-1581050a283b	MSMA26ET.fastq.gz	Completed	WGS	17.48M	10/27/2020
d6bcfbb2-7da1-4058-b816-b7f95abad32f	MSMA26EL.fastq.gz	Completed	WGS	11.567M	10/27/2020
3dbb36d6-37a4-4de9-9aad-7b73cffb91ec	MSMA2684.fastq.gz	Completed	WGS	22.034M	10/27/2020
bdf53008-16e7-4c50-85aa-90ce833bed5f	MSM9VZNH_healthy.fastq.gz	Completed	WGS	25.609M	10/27/2020
b190216a-6d2f-4285-926a-ac5ba6953143	MSM9VZME_healthy.fastq.gz	Completed	WGS	23.211M	10/27/2020
fbdcfa58-9efa-4f95-bfbb-0a33241f2ccc	MSM9VZJB.fastq.gz	Completed	WGS	19.881M	10/27/2020
e1de8d0d-0519-4c1b-a81b-53da5c39d411	MSM9VZI6_healthy.fastq.gz	Completed	WGS	32.485M	10/27/2020
4e35a01b-a9f4-4320-b2b0-3974de4a53e5	MSM9VZF5.fastq.gz	Completed	WGS	11.477M	10/27/2020
351d518e-5c8a-4693-8002-420d8e2292a6	MSM9VZEQ.fastq.gz	Completed	WGS	26.422M	10/27/2020
7a0d30a3-6a51-4da8-bdd2-9f1f87485f76	MSM9VZEK.fastq.gz	Completed	WGS	10.931M	10/27/2020
24047012-95bf-4338-905f-1648e76d6cfd	MSM79HCP_healthy.fastq.gz	Completed	WGS	30.729M	10/27/2020
7ac465a7-ca7d-4243-8489-edc361ae2c98	MSM79HBT.fastq.gz	Completed	WGS	15.138M	10/27/2020
8e8c2a0d-ca6d-4a1f-bee4-1171551bfadf	MSM79H8L_healthy.fastq.gz	Completed	WGS	22.905M	10/27/2020
9394349c-aa04-40c2-81db-ed76af0696b4	MSM79H7Y_healthy.fastq.gz	Completed	WGS	24.722M	10/27/2020
efe5cd35-c432-4275-9b39-daacb9990137	MSM79H5K_healthy.fastq.gz	Completed	WGS	28.917M	10/27/2020
f8188c02-79b6-4f3d-aada-d2590919736b	MSM6J2QH_healthy.fastq.gz	Completed	WGS	29.769M	10/27/2020
0ecb6043-30b3-414f-8070-a42b298fbf80	MSM6J2Q7.fastq.gz	Completed	WGS	31.538M	10/27/2020
2a80833d-267d-4823-b763-00fd3d1b734e	MSM6J2KA_healthy.fastq.gz	Completed	WGS	33.493M	10/27/2020
7548035c-1989-4f02-8962-b3fcee2f8d27	MSM6J2J3.fastq.gz	Completed	WGS	18.767M	10/27/2020
1ae6d4e9-0797-45f5-b734-3c6e8eef3d20	MSM6J2HD.fastq.gz	Completed	WGS	13.831M	10/27/2020
cdf640e9-3c24-4362-93ef-5e4bc0d28b51	MSM5LLF4.fastq.gz	Completed	WGS	13.125M	10/27/2020
20d4c234-8996-452a-abcc-53c00617d3f6	MSM633FF_P.fastq.gz	Completed	WGS	4.915M	10/27/2020
7020785b-a56a-4548-892e-036039f345ff	MSM5LLIK_P.fastq.gz	Completed	WGS	40.467M	10/27/2020
82df0a46-f359-49f7-bfc1-bbc4ed6a1ed4	MSM5LLE3_P.fastq.gz	Completed	WGS	29.275M	10/27/2020
ce39bd86-e051-4e4c-b734-1e12e40fd398	MSMB4LYH.fastq.gz	Completed	WGS	20.554M	10/27/2020
bd84ef9f-aaf4-4299-aa0e-33c51a16b77e	MSMAPC6A.fastq.gz	Completed	WGS	18.336M	10/27/2020
a4bdf6aa-6625-4a18-bb54-784f96a4c2f7	MSMAPC59.fastq.gz	Completed	WGS	21.532M	10/27/2020
11c67d72-3ab8-4b61-aa73-30454d46a7bd	MSMA26BN_healthy.fastq.gz	Completed	WGS	29.502M	10/27/2020
c67206b3-8d17-4cf1-be11-6942e5124457	MSMA26AX.fastq.gz	Completed	WGS	15.113M	10/27/2020
9e7b9b77-a878-43f7-87ad-6b0acc605b2d	MSM9VZPL.fastq.gz	Completed	WGS	30.888M	10/27/2020
bb14d62d-e62a-42f4-9c79-ce25ca64989b	MSM9VZPH.fastq.gz	Completed	WGS	27.415M	10/27/2020
f745120e-71ba-4ac2-a255-03ee64a2a2e3	MSM9VZOS.fastq.gz	Completed	WGS	20.687M	10/27/2020
693fa55e-4a58-48cb-ad6d-d4b8ec10c9ae	MSM9VZHT_healthy.fastq.gz	Completed	WGS	17.142M	10/27/2020
03854a1b-6469-4898-bf15-1b94af701777	MSM9VZHP_healthy.fastq.gz	Completed	WGS	19.849M	10/27/2020
bdeb9e9c-9dbd-4d94-b723-57c18b4d1980	MSM9VZHF_healthy.fastq.gz	Completed	WGS	20.233M	10/27/2020
1e5f548d-73e3-4580-ad31-e03ba523aac3	MSM9VZFT_healthy.fastq.gz	Completed	WGS	22.486M	10/27/2020
655190a9-e276-4f8c-af6a-660ea34a72eb	MSM9VZFR_healthy.fastq.gz	Completed	WGS	32.71M	10/27/2020
d187e808-f8d1-45f7-87e6-ef0458ee21a3	MSM9VZEO.fastq.gz	Completed	WGS	24.879M	10/27/2020
3e671f81-90ea-4550-825a-b75cc64b1e09	MSM79HF3.fastq.gz	Completed	WGS	14.401M	10/27/2020
8976d71f-f559-46e0-a55f-1f5a869c16cc	MSM79HDG.fastq.gz	Completed	WGS	14.462M	10/27/2020
bfdf3381-7e88-441d-8d8d-f5789a541ec2	MSM79HBZ.fastq.gz	Completed	WGS	5.812M	10/27/2020
50a1e623-5e8a-448c-9984-4207b89210bb	MSM79H98.fastq.gz	Completed	WGS	36.447M	10/27/2020
d84cb066-f330-4e26-bf5b-3f67f90697cf	MSM79H7W_healthy.fastq.gz	Completed	WGS	26.479M	10/27/2020
552c7c9c-5581-4717-946f-70dc370bc9f1	MSM79H7C.fastq.gz	Completed	WGS	35.529M	10/27/2020
6e829972-2af3-4865-b9cf-099f91a7e5c0	MSM79H6N_healthy.fastq.gz	Completed	WGS	40.55M	10/27/2020
edd3bbcb-fef5-4135-af01-89b410e5ab3d	MSM79H69.fastq.gz	Completed	WGS	23.701M	10/27/2020
dbd1d234-cae3-4658-ac31-fe3fc5e6f48d	MSM79H5S_healthy.fastq.gz	Completed	WGS	29.321M	10/27/2020
a2b2cd56-0aaa-4b42-bdb6-d9f8ef7b4e6e	MSM6J2QR.fastq.gz	Completed	WGS	29.597M	10/27/2020
c9f2187d-1b77-4576-9241-fc06a476f63b	MSM6J2PS_healthy.fastq.gz	Completed	WGS	27.409M	10/27/2020
657456d2-3e9a-4d74-a692-ae80f2fb3453	MSM6J2M3_healthy.fastq.gz	Completed	WGS	30.731M	10/27/2020
c50853b6-cfa1-4bae-a988-535e9c2bd353	MSM6J2J5.fastq.gz	Completed	WGS	23.953M	10/27/2020
c9b3d275-91a7-4d50-ae0a-0db6bf392845	MSM6J2II.fastq.gz	Completed	WGS	14.446M	10/27/2020
276cf8fc-3e3c-4799-bdf7-87bacc9159a2	MSM6J2HJ.fastq.gz	Completed	WGS	8.935M	10/27/2020
c44c414d-5437-469b-9b1b-761f4b425922	MSM5LLDC.fastq.gz	Completed	WGS	20.947M	10/27/2020
d3bb6ad8-cd9c-4914-97db-97f122b78236	MSM9VZJJ_P.fastq.gz	Completed	WGS	28.952M	10/27/2020
512dd1f8-e85d-49c6-a23e-42b759c8cec6	MSM9VZJF_P.fastq.gz	Completed	WGS	26.526M	10/27/2020
6c026515-c598-4f5f-bc9e-ecd68001ea88	MSM79H52_P_healthy.fastq.gz	Completed	WGS	15.608M	10/27/2020
600b1a1b-49bd-4c3d-b501-0d64a5a73679	MSM5LLI2_P.fastq.gz	Completed	WGS	38.708M	10/27/2020
742eb54b-007c-41ce-bca0-93c3fd8e7407	MSMB4LZV_healthy.fastq.gz	Completed	WGS	16.292M	10/27/2020
d40b5f51-463c-4797-9188-b9838a241929	MSMB4LZC_healthy.fastq.gz	Completed	WGS	16.654M	10/27/2020
b7cdd556-b952-4c95-97e2-3497916be3f3	MSMB4LXS_healthy.fastq.gz	Completed	WGS	22.63M	10/27/2020
96d15a03-c36f-45c0-aa7c-c239ccc976b0	MSMAPC7R_healthy.fastq.gz	Completed	WGS	24.297M	10/27/2020
441efb90-055a-48ab-8bab-2db0966f9152	MSMAPC6M_healthy.fastq.gz	Completed	WGS	25.561M	10/27/2020
e118d19a-f5a5-4330-94a1-e10bad019752	MSMA267X.fastq.gz	Completed	WGS	23.195M	10/27/2020
fc3c0498-d684-493c-b247-8e1719fe0087	MSM9VZOM_healthy.fastq.gz	Completed	WGS	26.252M	10/27/2020
cb8dacd4-374a-4388-8768-4fa10efadecb	MSM9VZOK_healthy.fastq.gz	Completed	WGS	14.383M	10/27/2020
6de66960-e184-4462-98a8-2903119a9122	MSM9VZOI_healthy.fastq.gz	Completed	WGS	24.807M	10/27/2020
7bd0701d-8e0d-46da-b635-c238cd8976b6	MSM9VZKI_healthy.fastq.gz	Completed	WGS	29.3M	10/27/2020
52f8701a-7314-4d95-81dc-83fb2db05e52	MSM9VZHX_healthy.fastq.gz	Completed	WGS	32.672M	10/27/2020
bcdd3422-e62e-49b6-97ec-96d71e38f16e	MSM9VZHL_healthy.fastq.gz	Completed	WGS	11.158M	10/27/2020
cbb7031d-206d-4ff3-9032-32f37cfda329	MSM9VZGS_healthy.fastq.gz	Completed	WGS	18.425M	10/27/2020
d2a942b0-3b84-458b-bdd7-b83d4b242f29	MSM9VZGO_healthy.fastq.gz	Completed	WGS	23.944M	10/27/2020
a87b7c16-9ad0-41d0-8eda-0b78ce96a4d3	MSM9VZEK_TR.fastq.gz	Completed	WGS	7.574M	10/27/2020
b07bac21-b00f-4753-be27-2a3ee2ff52ce	MSM7J16L.fastq.gz	Completed	WGS	32.932M	10/27/2020
ada7df4f-a9df-4647-a2e7-37f46c95e306	MSM79HFY_healthy.fastq.gz	Completed	WGS	31.18M	10/27/2020
1566cd6a-5328-41c9-9cdc-ac048bb233df	MSM79HEU_healthy.fastq.gz	Completed	WGS	24.503M	10/27/2020
1d779c26-1666-4a87-a9d8-db6977acb874	MSM79HDK.fastq.gz	Completed	WGS	22.357M	10/27/2020
bb717a5f-48b4-4d7b-9491-f8520a73dd4b	MSM79HAT.fastq.gz	Completed	WGS	21.241M	10/27/2020
3c85a663-33ae-4e82-b009-4d09417b914b	MSM79H9A_healthy.fastq.gz	Completed	WGS	30.075M	10/27/2020
888a16e5-c2f0-463e-9485-8418a8502b71	MSM79H7Q_healthy.fastq.gz	Completed	WGS	30.49M	10/27/2020
93c68a0a-6271-4b04-9ad0-3f2f7c120f01	MSM79H65.fastq.gz	Completed	WGS	28.852M	10/27/2020
9abac114-bba7-4add-962a-d8de6718ac00	MSM6J2RA.fastq.gz	Completed	WGS	26.965M	10/27/2020
05819452-93bb-4c7a-a327-24e39335af25	MSM6J2PW_healthy.fastq.gz	Completed	WGS	19.213M	10/27/2020
e567ec8e-5b51-4116-aff2-f6d41bc4b81b	MSM6J2PO_healthy.fastq.gz	Completed	WGS	17.394M	10/27/2020
a2e205c6-2f4c-4992-ac2a-df89866f3432	MSM6J2MB.fastq.gz	Completed	WGS	23.686M	10/27/2020
d39ef0ee-cf8b-4432-966d-70b051f3b8fe	MSM6J2LN.fastq.gz	Completed	WGS	34.912M	10/27/2020
ad5c7c4e-27bf-4863-9805-1531aaa4ca75	MSM6J2KM.fastq.gz	Completed	WGS	22.833M	10/27/2020
6eb9fc09-869e-4aba-add8-5ab15846d10f	MSM5LLHC.fastq.gz	Completed	WGS	29.492M	10/27/2020
d708f4bc-af25-443e-828b-0450789c6271	MSM5LLER.fastq.gz	Completed	WGS	29.95M	10/27/2020
63bd6eea-df5c-4322-8ecf-c7c9b817939e	MSM5LLDQ.fastq.gz	Completed	WGS	24.026M	10/27/2020
dfb59e2a-dd51-4b4e-bf66-eb50399460c2	MSM9VZFJ_P_healthy.fastq.gz	Completed	WGS	33.617M	10/27/2020
bbf5ec95-a969-4619-81db-1083da9ce4fa	MSM79HBX_P.fastq.gz	Completed	WGS	23.601M	10/27/2020
bfbb7f96-54ac-46ab-952a-0703cbd8b137	MSM6J2RG_P.fastq.gz	Completed	WGS	38.41M	10/27/2020
7d88263e-2a07-490d-9827-c3666601ce38	MSM6J2M3_P_healthy.fastq.gz	Completed	WGS	33.219M	10/27/2020
c3fcc7b6-cec2-4e05-b886-96aa747c1fed	MSM5LLGJ_P.fastq.gz	Completed	WGS	46.042M	10/27/2020
f5481f9e-7034-4f24-be68-2f08bc1cf5cb	MSM5LLFU_P.fastq.gz	Completed	WGS	13.998M	10/27/2020
14076fd7-420d-4ecb-916d-9580b4dd1c31	MSMB4LZR.fastq.gz	Completed	WGS	28.174M	10/27/2020
be4ac60f-adc7-448f-8f4a-609f2d119105	MSMB4LZ8_healthy.fastq.gz	Completed	WGS	24.232M	10/27/2020
