Serum #1,Serum #2,Serum #3,Serum #4,External ID,Participant ID,data_type
206516,206516,206516,206516,ESM5GEXI,E5004,host_genome
220938,220938,220938,220938,HSM6ZK61,H4001,host_genome
206497,206497,206497,206497,HSM5FZA7,H4004,host_genome
220943,220943,220943,220943,HSM6ZK5T,H4006,host_genome
219205,219205,219205,219205,HSM6ZK4Y,H4007,host_genome
206499,206499,206499,206499,HSM5FZA9,H4008,host_genome
220931,220931,220931,220931,HSM6ZK53,H4009,host_genome
219214,219214,219214,219214,HSM6ZK4Q,H4010,host_genome
206507,206507,206507,206507,HSM6ESRY,H4013,host_genome
222380,222380,222380,222380,HSM6ZK5M,H4014,host_genome
222408,222408,222408,222408,HSM6ZK5K,H4015,host_genome
206512,206512,206512,206512,HSM6ESRT,H4016,host_genome
219222,219222,219222,219222,HSM6ESRS,H4017,host_genome
219220,219220,219220,219220,HSM6ESRQ,H4018,host_genome
219218,219218,219218,219218,HSM6ESRK,H4019,host_genome
219217,219217,219217,219217,HSM6ESRL,H4020,host_genome
219212,219212,219212,219212,HSM6ZK4S,H4022,host_genome
219209,219209,219209,219209,HSM6ZK4V,H4023,host_genome
224276,224276,224276,224276,HSM9IE5P,H4024,host_genome
224270,224270,224270,224270,HSM9IE6O,H4027,host_genome
220937,220937,220937,220937,HSM6ZK62,H4028,host_genome
222388,222388,222388,222388,HSM7H3VU,H4030,host_genome
224288,224288,224288,224288,HSM9IE5D,H4031,host_genome
220947,220947,220947,220947,HSM6ZK5O,H4032,host_genome
222404,222404,222404,222404,HSM6ZK58,H4035,host_genome
225344,225344,225344,225344,HSMA5PUI,H4038,host_genome
222389,222389,222389,222389,HSM7H3W5,H4039,host_genome
224264,224264,224264,224264,HSM9IE6I,H4040,host_genome
224268,224268,224268,224268,HSM9IE6M,H4042,host_genome
224263,224263,224263,224263,HSM9IE6H,H4043,host_genome
224279,224279,224279,224279,HSM9IE5M,H4044,host_genome
224273,224273,224273,224273,HSM9IE5R,H4045,host_genome
206459,206459,206459,206459,MSM5CFAV,M2008,host_genome
220210,220210,220210,220210,MSM6Q3QJ,M2014,host_genome
206458,206458,206458,206458,MSM5CFAU,M2021,host_genome
219183,219183,219183,219183,MSM6Q3SK,M2025,host_genome
220207,220207,220207,220207,MSM6Q3QG,M2026,host_genome
219197,219197,219197,,MSM6Q3T1,M2027,host_genome
206463,206463,206463,206463,MSM6Q3QR,M2028,host_genome
223288,223288,223288,,MSM6Q3QT,M2034,host_genome
206471,206471,206471,206471,MSM6Q3QE,M2039,host_genome
223305,223305,223305,223305,MSM6Q3RD,M2041,host_genome
223296,223296,223296,223296,MSM6Q3R3,M2042,host_genome
226388,226388,226388,226388,MSM6Q3O9,M2047,host_genome
226396,226396,,,MSM6Q3OI,M2061,host_genome
223290,223290,223290,223290,MSM6Q3QV,M2064,host_genome
226400,226400,226400,226400,MSM6Q3RM,M2068,host_genome
226395,226395,226395,226395,MSM6Q3OG,M2069,host_genome
223309,223309,223309,223309,MSM6Q3RF,M2072,host_genome
226386,226386,226386,226386,MSMA26BA,M2075,host_genome
226387,226387,226387,,MSM6Q3O8,M2084,host_genome
219708,219708,219708,219708,PSM6XC1D,P6005,host_genome
219710,219710,219710,219710,PSM6XC1H,P6009,host_genome
219711,219711,,,PSM6XC11,P6010,host_genome
219714,219714,219714,219714,PSM6XC1K,P6012,host_genome
224644,224644,224644,224644,PSM7J4EJ,P6013,host_genome
219718,219718,219718,219718,PSM6XC1O,P6014,host_genome
222224,222224,222224,222224,PSM6XC26,P6016,host_genome
219720,219720,219720,219720,PSM6XC1Q,P6017,host_genome
224651,224651,224651,224651,PSMA2623,P6018,host_genome
222210,222210,222210,222210,PSM7J4EA,P6024,host_genome
222211,222211,222211,222211,PSM7J4EB,P6025,host_genome
224652,224652,224652,224652,PSMA2624,P6028,host_genome
224645,224645,224645,224645,PSM6XC2B,P6033,host_genome
206529,206529,206529,206529,ESM6ZK85,E5009,methylome
206502,206502,206502,206502,HSM5FZAC,H4001,methylome
206510,206510,206510,206510,HSM6ESRV,H4001,methylome
219206,219206,219206,219206,HSM6ZK4Z,H4001,methylome
206511,206511,206511,206511,HSM6ESRU,H4004,methylome
219211,219211,219211,219211,HSM6ZK4T,H4004,methylome
220940,220940,220940,220940,HSM6ZK5W,H4004,methylome
222406,222406,222406,222406,HSM6ZK5H,H4004,methylome
206498,206498,206498,206498,HSM5FZA8,H4006,methylome
219221,219221,219221,219221,HSM6ESRR,H4006,methylome
219210,219210,219210,219210,HSM6ZK4U,H4006,methylome
